trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-65.0686221793909,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-149.27938712557537,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-91.85042185931421,"{0: 14, 1: 4, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,13,-53.42956365507283,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,3,-88.5525199286691,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-133.59153122807837,"{0: 15, 1: 5, 2: 2, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-76.72545347512437,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,1.1336836108447224,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-23.288419989260536,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-69.52549704468218,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-31.46899183087219,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,7.458449654037449,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,9.528294871622611,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-7.020923771004332,"{0: 26, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-54.338228065356695,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,29.25143380105086,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-6.7270985405168675,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,18,12.148308292917875,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,11,21.908967933585664,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,2.8738776688572276,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,21.6528239863024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",30,10,21.983816569999,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,33.24195318176411,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,3.798801336012261,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,48.278721986502546,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,27.28166849192467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,30.444352173384225,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,26.311494023033987,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",35,0,46.46073567448538,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,0,20.01118650671113,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
