trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9975031223974601}",25,0,-246.55990348196727,"{0: 9, 1: 4, 2: 6, 3: 3, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9950124791926823}",30,0,-149.20296860385628,"{0: 15, 1: 6, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.9925280548191384}",20,0,-47.40961666621817,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9900498337491681}",30,0,-106.86515981502079,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9875778004938814}",20,0,-80.47376472710992,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9851119396030626}",20,0,-75.28820216468448,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9826522356650732}",25,10,-42.40481291694213,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9801986733067553}",35,1,-163.8921715675082,"{0: 24, 1: 3, 2: 3, 3: 1, 4: 3}",1
9,False,"{'a': 0.5, 'e': 0.9777512371933363}",20,0,-119.65315812832876,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9753099120283326}",20,0,-48.439014290960216,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.972874682553454}",25,0,-128.6663628446679,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9704455335485082}",20,10,-17.67956036028881,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.968022449831306}",25,0,-138.79216786638756,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-56.340080921211104,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9631944177208218}",20,0,-148.94797468247856,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9607894391523232}",20,9,-72.13614650363913,"{0: 5, 1: 3, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.958390465520947}",25,0,-150.5588067835667,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9559974818331}",20,0,-91.29137196620837,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9536104731326264}",20,0,-22.89837859888955,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.951229424500714}",25,0,-111.41731911002395,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9488543210558013}",30,19,-19.16139540406723,"{0: 6, 1: 4, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9464851479534838}",25,0,-125.58881999325456,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9441218903864221}",20,0,-75.39453269716601,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-50.468063250655874,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9394130628134758}",35,0,-140.41273665530937,"{0: 19, 1: 4, 2: 10, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9370674633774034}",25,0,-180.57906287758115,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9347277206160275}",20,0,-9.895201217204043,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-108.15653900673999,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9300657466602785}",25,14,-3.271251416675806,"{0: 8, 1: 3, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,0,-152.06361367236968,"{0: 13, 1: 6, 2: 2, 3: 2, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9254270243966368}",20,0,-87.75684305974191,"{0: 12, 1: 2, 2: 2, 3: 4, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.9231163463866358}",20,2,-75.63134621810018,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.9208114378568045}",20,0,-103.84196822340458,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9185122844014574}",25,0,-125.94401760872739,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9162188716508776}",25,0,-143.53186993983584,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
36,False,"{'a': 0.5, 'e': 0.9139311852712282}",25,0,-80.39586664417249,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
