trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-173.0146409914522,"{0: 16, 1: 5, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,4,-142.3876584658631,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-56.559479111153635,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.64165956285603,"{0: 8, 1: 5, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-55.157545543696116,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-163.92139779793757,"{0: 9, 1: 0, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-179.81890614408047,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 4}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.622460641961,"{0: 14, 1: 4, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-14.728156121012905,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-149.63163465751947,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.54863621499064,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.81409071383312,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.36078032797035,"{0: 19, 1: 0, 2: 2, 3: 2, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-120.19668419957232,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.8538941360194,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.60513446781684,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-146.24898206438868,"{0: 14, 1: 10, 2: 3, 3: 2, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,8,-72.27626825595618,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-224.1695202378372,"{0: 10, 1: 6, 2: 3, 3: 3, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,16,-103.19545471217816,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 1}",1
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.19665137757806,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
